billing_period_start,billing_period_end,usage_start,usage_end,line_item_id,invoice_id,line_item_type,cost_category,billing_profile_id,billing_account_name,subscription_id,subscription_name,resource_group,resource_id,service,meter,meter_region,quantity,unit,currency,unit_price,list_cost,ondemand_cost_equivalent,pre_tax_cost,amortized_cost,effective_cost,net_cost,credit_cost,tax_cost,support_fee_cost,marketplace_cost,reservation_id,tag_application,tag_environment,tag_owner,tag_cost_center,is_late_adjustment
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000001,AZ-2026-07-alpha,usage,Compute,50001-alpha,Northwind EA Enrollment,aaaaaaaa-1111-4111-8111-111111111111,sub-payments-prod,rg-payments-prod,/subscriptions/aaaaaaaa-1111-4111-8111-111111111111/resourceGroups/rg-payments-prod/providers/virtualmachines/b,Virtual Machines,B series standard_B2ms,eastus2,1357,Hrs,USD,0.830000,1126.310000,1126.310000,788.410000,788.410000,788.410000,788.410000,0.000000,0.000000,0.000000,0.000000,ri-rg-payments-prod,payments-api,prod,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000002,AZ-2026-07-alpha,usage,Compute,50001-alpha,Northwind EA Enrollment,aaaaaaaa-1111-4111-8111-111111111111,sub-payments-prod,rg-payments-prod,/subscriptions/aaaaaaaa-1111-4111-8111-111111111111/resourceGroups/rg-payments-prod/providers/virtualmachines/d,Virtual Machines,D series standard_D4s_v5,eastus2,712,Hrs,USD,1.920000,1367.040000,1367.040000,956.920000,956.920000,956.920000,956.920000,0.000000,0.000000,0.000000,0.000000,ri-rg-payments-prod,payments-api,prod,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000003,AZ-2026-07-alpha,usage,Storage,50001-alpha,Northwind EA Enrollment,aaaaaaaa-1111-4111-8111-111111111111,sub-payments-prod,rg-payments-prod,/subscriptions/aaaaaaaa-1111-4111-8111-111111111111/resourceGroups/rg-payments-prod/providers/storage/hot,Storage,Hot LRS Data Stored,eastus2,19800,GB-Mo,USD,0.070000,1386.000000,1386.000000,1386.000000,1386.000000,1386.000000,1386.000000,0.000000,0.000000,0.000000,0.000000,,payments-api,prod,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000004,AZ-2026-07-alpha,usage,Database,50001-alpha,Northwind EA Enrollment,aaaaaaaa-1111-4111-8111-111111111111,sub-payments-prod,rg-payments-prod,/subscriptions/aaaaaaaa-1111-4111-8111-111111111111/resourceGroups/rg-payments-prod/providers/azuredatabaseforpostgresql/general,Azure Database for PostgreSQL,General Purpose Ds_v2 vCore,eastus2,766,Hrs,USD,1.720000,1317.520000,1317.520000,922.260000,922.260000,922.260000,922.260000,0.000000,0.000000,0.000000,0.000000,ri-rg-payments-prod,payments-api,prod,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000005,AZ-2026-07-alpha,usage,Network,50001-alpha,Northwind EA Enrollment,aaaaaaaa-1111-4111-8111-111111111111,sub-payments-prod,rg-payments-prod,/subscriptions/aaaaaaaa-1111-4111-8111-111111111111/resourceGroups/rg-payments-prod/providers/applicationgateway/v2,Application Gateway,V2 Standard Capacity Unit,eastus2,657,Hrs,USD,0.330000,216.810000,216.810000,216.810000,216.810000,216.810000,216.810000,0.000000,0.000000,0.000000,0.000000,,payments-api,prod,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000006,AZ-2026-07-alpha,usage,Marketplace,50001-alpha,Northwind EA Enrollment,aaaaaaaa-1111-4111-8111-111111111111,sub-payments-prod,rg-payments-prod,/subscriptions/aaaaaaaa-1111-4111-8111-111111111111/resourceGroups/rg-payments-prod/providers/marketplace/datadog-saas-logs,Marketplace,Datadog-SaaS-Logs,eastus2,2,Contracts,USD,6.500000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000,0.000000,0.000000,0.000000,13.000000,,payments-api,prod,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000007,AZ-2026-07-alpha,support,Support,50001-alpha,Northwind EA Enrollment,aaaaaaaa-1111-4111-8111-111111111111,sub-payments-prod,rg-payments-prod,/subscriptions/aaaaaaaa-1111-4111-8111-111111111111/support,Azure Support Plan,Support,eastus2,1,Monthly,USD,214.170000,214.170000,0.000000,214.170000,214.170000,214.170000,214.170000,0.000000,0.000000,214.170000,0.000000,,payments-api,prod,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000008,AZ-2026-07-alpha,usage,Compute,50001-alpha,Northwind EA Enrollment,aaaaaaaa-2222-4222-8222-222222222222,sub-payments-nonprod,rg-payments-nonprod,/subscriptions/aaaaaaaa-2222-4222-8222-222222222222/resourceGroups/rg-payments-nonprod/providers/virtualmachines/b,Virtual Machines,B series standard_B2ms,eastus2,1591,Hrs,USD,0.830000,1320.530000,1320.530000,1320.530000,1320.530000,1320.530000,1320.530000,0.000000,0.000000,0.000000,0.000000,,payments-api,dev,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000009,AZ-2026-07-alpha,usage,Compute,50001-alpha,Northwind EA Enrollment,aaaaaaaa-2222-4222-8222-222222222222,sub-payments-nonprod,rg-payments-nonprod,/subscriptions/aaaaaaaa-2222-4222-8222-222222222222/resourceGroups/rg-payments-nonprod/providers/virtualmachines/d,Virtual Machines,D series standard_D4s_v5,eastus2,763,Hrs,USD,1.920000,1464.960000,1464.960000,1464.960000,1464.960000,1464.960000,1464.960000,0.000000,0.000000,0.000000,0.000000,,payments-api,dev,Priya Kumar,CC-1001,false
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,50001-alpha-2026-07-000010,AZ-2026-07-alpha,usage,Storage,50001-alpha,Northwind EA Enrollment,aaaaaaaa-2222-4222-8222-222222222222,sub-payments-nonprod,rg-payments-nonprod,/subscriptions/aaaaaaaa-2222-4222-8222-222222222222/resourceGroups/rg-payments-nonprod/providers/storage/hot,Storage,Hot LRS Data Stored,eastus2,20900,GB-Mo,USD,0.070000,1463.000000,1463.000000,1463.000000,1463.000000,1463.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,,payments-api,dev,Priya Kumar,CC-1001,false
